Date,Price,Open,High,Low,Vol. ('000),Change %
9/11/2021,45161.90,44844.90,45975.60,44766.60,41.58,0.71%
9/10/2021,44842.80,46385.90,47021.60,44283.60,75.62,-3.33%
9/9/2021,46385.60,46057.60,47305.70,45609.00,73.63,0.70%
9/8/2021,46061.40,46774.10,47316.90,44493.70,100.48,-1.54%
9/7/2021,46779.60,52674.20,52885.30,43072.40,187.56,-11.19%
9/6/2021,52672.10,51769.40,52726.20,51002.80,69.46,1.75%
9/5/2021,51768.60,49918.70,51878.20,49492.40,57.3,3.71%
9/4/2021,49918.40,49999.30,50534.60,49461.40,48.14,-0.16%
9/3/2021,49999.00,49269.50,51008.80,48377.30,88.08,1.47%
9/2/2021,49274.30,48817.80,50355.30,48612.90,80.21,0.93%
9/1/2021,48819.40,47129.20,49121.00,46533.10,74.38,3.58%
08/31/2021,47130.40,46989.10,48217.00,46709.30,71.48,0.29%
08/30/2021,46992.70,48777.10,48886.00,46876.90,61.68,-3.66%
08/29/2021,48777.40,48899.70,49621.70,47870.10,47.62,-0.24%
08/28/2021,48897.10,49062.80,49289.40,48428.50,36.73,-0.34%
08/27/2021,49064.30,46830.20,49142.00,46371.50,62.47,4.77%
08/26/2021,46831.60,48994.40,49347.80,46360.40,73.79,-4.41%
08/25/2021,48994.50,47707.40,49230.20,47163.30,63.54,2.68%
08/24/2021,47714.70,49532.50,49847.40,47623.60,74.26,-3.68%
08/23/2021,49539.70,49255.40,50498.80,49038.60,75.37,0.58%
08/22/2021,49254.50,48870.40,49480.30,48151.00,49.32,0.77%
08/21/2021,48875.80,49330.00,49719.10,48293.50,18.2,-0.91%
08/20/2021,49324.00,46756.70,49343.30,46646.80,83.19,5.49%
08/19/2021,46755.90,44725.90,47012.30,43986.70,77.92,4.54%
08/18/2021,44723.80,44691.10,46004.90,44230.00,22.36,0.07%
08/17/2021,44691.60,45907.50,47140.60,44441.30,84.14,-2.84%
08/16/2021,45996.30,46991.60,48002.40,45672.10,2.41,-2.12%
08/15/2021,46991.30,47082.60,47344.10,45564.10,58.11,-0.19%
08/14/2021,47081.50,47809.60,48090.90,46117.20,64.29,-1.52%
08/13/2021,47809.10,44404.00,47836.00,44242.40,75.27,7.67%
8/12/2021,44403.40,45562.30,46213.80,43814.70,81.07,-2.55%
8/11/2021,45564.30,45593.20,46736.50,45367.90,75.43,-0.06%
8/10/2021,45593.80,46281.80,46663.40,44681.20,80.55,-1.49%
8/9/2021,46284.30,43794.90,46460.70,42824.10,117.08,5.69%
8/8/2021,43792.80,44584.90,45284.10,43314.40,105.25,-1.84%
8/7/2021,44614.20,42784.70,44697.30,42611.00,112.84,4.25%
8/6/2021,42795.40,40868.40,43253.40,39905.40,111.93,4.72%
8/5/2021,40867.20,39734.40,41366.30,37365.40,130.6,2.84%
8/4/2021,39736.90,38188.40,39956.50,37556.00,79.22,4.21%
8/3/2021,38130.30,39167.40,39766.60,37688.20,0.26,-2.65%
8/2/2021,39168.40,39869.80,40449.00,38692.50,74.81,-1.78%
8/1/2021,39878.30,41510.00,42565.00,39556.50,80.33,-4.03%
